Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS01170,24,21,39,23,23,29,41,32,36
gene-ACX60_RS01175,25,42,63,30,26,61,40,54,28
gene-ACX60_RS01180,76,80,118,79,51,60,60,82,79
gene-ACX60_RS01185,16,28,24,16,2,12,20,26,31
gene-ACX60_RS01190,11,28,19,18,10,17,18,10,25
gene-ACX60_RS01195,36,48,56,40,35,46,55,72,70
gene-ACX60_RS01200,46,63,118,80,54,90,93,100,89
gene-ACX60_RS01205,50,97,111,89,61,87,73,69,101
gene-ACX60_RS01210,17,25,26,27,21,35,29,29,26
gene-ACX60_RS01215,4855,7056,7017,6087,6317,6460,5017,5328,6162
gene-ACX60_RS01220,2874,4483,4047,7267,9464,6887,941,1185,1591
gene-ACX60_RS01225,1454,2054,2271,2346,2082,2417,2303,2198,2493
gene-ACX60_RS01230,88,115,91,119,120,141,175,176,192
gene-ACX60_RS01235,106,171,241,163,142,160,133,172,125
gene-ACX60_RS01240,2148,3598,2773,4185,4984,4487,2293,3002,3221
gene-ACX60_RS01245,116,222,162,142,99,124,146,111,148
gene-ACX60_RS01250,45,85,66,60,59,47,41,52,61
gene-ACX60_RS01255,2645,3729,3449,2807,3248,3102,2264,2354,2947
gene-ACX60_RS01260,1070,1497,1574,1426,1465,1446,1254,1360,1545
gene-ACX60_RS01265,428,625,672,538,584,526,505,542,596
gene-ACX60_RS01270,404,736,1050,899,716,1260,926,896,991
gene-ACX60_RS01275,158,261,286,303,249,365,236,269,298
gene-ACX60_RS01280,179,215,170,209,192,205,261,338,334
gene-ACX60_RS01285,91,123,201,137,111,194,170,162,238
gene-ACX60_RS01290,1194,2193,2111,2253,2321,2363,1687,1910,2072
gene-ACX60_RS01295,117,172,249,186,149,237,290,213,253
gene-ACX60_RS01300,524,873,986,659,468,833,1070,1144,1370
gene-ACX60_RS01305,1508,2144,1921,1997,2247,1868,1410,1677,2071
gene-ACX60_RS01310,2006,2578,3033,2731,2560,2908,2592,2846,3277
gene-ACX60_RS01315,1402,2123,2252,1705,1779,1886,1607,1789,2067
gene-ACX60_RS01320,94,202,198,298,249,238,175,273,297
gene-ACX60_RS01325,8,23,34,21,25,32,26,35,26
gene-ACX60_RS01330,142,224,229,139,177,129,164,141,190
gene-ACX60_RS01335,3735,6529,5462,3769,4381,3735,3907,4990,5319
gene-ACX60_RS19415,0,1,0,0,0,0,3,0,0
gene-ACX60_RS01340,5538,8544,7637,8121,8551,7798,7810,8568,9775
gene-ACX60_RS01345,6948,10668,10654,9926,10071,9992,9330,10647,11670
gene-ACX60_RS01350,7884,12442,12151,11811,12877,13092,8470,9987,10281
gene-ACX60_RS01355,243,359,381,304,395,301,201,196,277
gene-ACX60_RS01360,2560,4002,4014,3592,3694,4210,2389,2836,2896
gene-ACX60_RS01365,13,27,33,17,36,36,31,38,41
gene-ACX60_RS01370,10,11,22,8,12,18,6,12,10
gene-ACX60_RS01375,328,358,454,344,302,320,353,339,375
gene-ACX60_RS01380,1236,1566,1729,1093,1088,1223,871,1009,1273
gene-ACX60_RS01385,21920,32544,34673,32671,30902,38414,26274,30803,34117
gene-ACX60_RS01390,1012,1583,1926,752,800,949,1012,1172,1426
gene-ACX60_RS01395,110,156,236,165,148,237,124,123,185
gene-ACX60_RS01400,713,971,1512,991,670,1175,1595,1673,1506
gene-ACX60_RS01405,704,1076,1153,1018,1052,995,1321,1693,1548
gene-ACX60_RS01410,301,510,587,321,415,429,423,486,604
gene-ACX60_RS01415,1951,2754,3114,2488,2443,2688,2598,3379,3661
gene-ACX60_RS01420,646,984,1157,977,917,1095,1258,1510,1357
gene-ACX60_RS01425,274,420,567,416,459,473,283,379,476
gene-ACX60_RS01430,483,765,652,492,399,492,363,410,439
gene-ACX60_RS01435,107,196,164,185,207,253,182,229,207
gene-ACX60_RS01440,169,275,272,298,317,372,223,323,354
gene-ACX60_RS01445,88,107,149,120,50,116,74,107,81
gene-ACX60_RS01450,3658,5132,5120,5640,5170,5906,5406,5639,6512
gene-ACX60_RS01455,1051,1379,1116,1515,1089,1531,1680,1735,1994
gene-ACX60_RS01460,206,326,380,333,278,465,417,451,439
gene-ACX60_RS01465,7864,11249,12138,8504,7571,10084,8776,9581,10793
gene-ACX60_RS01470,2931,4515,5349,3714,2679,4304,5513,4789,5200
gene-ACX60_RS01475,238,472,507,204,174,245,240,260,296
gene-ACX60_RS01480,1996,3306,3180,2349,2330,2744,1394,1341,2089
gene-ACX60_RS01485,515,712,884,883,794,1010,663,670,843
gene-ACX60_RS01490,6001,8615,8947,8818,8947,9736,6404,7060,8327
gene-ACX60_RS01495,3847,5338,6064,5483,5220,6092,4034,4335,4944
gene-ACX60_RS01500,4146,5925,6765,6198,6238,7291,4937,5348,5799
gene-ACX60_RS01505,6727,10205,9673,10262,10754,11067,7485,8718,8676
gene-ACX60_RS01510,90,147,239,133,78,135,100,116,146
gene-ACX60_RS01515,791,1193,1304,884,931,1130,748,823,990
gene-ACX60_RS01520,7847,11013,11162,12368,13013,12490,8548,9189,10509
gene-ACX60_RS01525,433,546,779,381,301,399,716,648,726
gene-ACX60_RS01530,79,122,106,44,84,78,134,129,121
gene-ACX60_RS01535,71,100,123,83,56,104,126,126,169
gene-ACX60_RS01540,103,126,162,79,49,89,85,89,134
gene-ACX60_RS01545,320,449,558,308,252,383,444,385,529
gene-ACX60_RS01550,775,1521,1412,1042,1157,1223,982,1227,1338
gene-ACX60_RS01555,1953,2981,2975,2728,2857,2870,2886,3106,3136
gene-ACX60_RS01560,1204,2002,1667,1703,1781,1739,1492,1558,1623
gene-ACX60_RS01565,40369,55288,55361,78693,73925,91453,78953,83282,97040
gene-ACX60_RS01570,10174,14466,13342,19192,19842,22271,16809,17631,20260
gene-ACX60_RS01575,80,159,185,128,162,187,166,142,227
gene-ACX60_RS01580,2382,3519,3861,3022,2895,3099,1855,1895,2488
gene-ACX60_RS01585,2469,4187,4386,3637,3410,3662,2569,2928,2986
gene-ACX60_RS01590,458,720,867,474,424,517,290,277,342
gene-ACX60_RS01595,60,77,124,79,61,87,95,87,112
gene-ACX60_RS01600,1270,1750,2048,1678,1531,2080,1904,1934,2229
gene-ACX60_RS01605,2154,3456,4499,2808,1972,3484,2439,2484,2456
gene-ACX60_RS01610,13,60,68,35,24,37,26,22,23
gene-ACX60_RS01615,1668,2587,2417,1968,2116,2001,1638,1930,2096
gene-ACX60_RS01620,4961,7296,6890,6347,6546,6419,7318,7475,7613
gene-ACX60_RS19420,33,56,38,52,82,39,36,31,35
gene-ACX60_RS01625,1253,2105,2824,1914,1623,2794,1982,1824,2024
gene-ACX60_RS01630,2080,2966,3470,2874,2732,3338,2667,2719,3191
gene-ACX60_RS01635,1266,2013,2598,1588,1615,1918,1830,1892,2100
gene-ACX60_RS01640,4,7,14,10,4,4,4,14,8
gene-ACX60_RS01645,8,15,33,14,15,29,29,23,14
gene-ACX60_RS01650,44,86,47,53,39,53,52,59,74
gene-ACX60_RS01655,34,63,73,39,60,47,55,43,82
gene-ACX60_RS01660,739,1062,1177,880,697,944,956,899,1207
gene-ACX60_RS01665,106,126,158,119,101,122,172,154,218
gene-ACX60_RS01670,130,178,230,139,121,164,152,199,217
gene-ACX60_RS01675,22140,30792,34698,29774,26896,36933,26531,29630,31261
gene-ACX60_RS01680,58848,86086,78744,84570,88487,91248,70783,77910,86803
gene-ACX60_RS01685,48116,66845,70149,69758,67439,81075,58064,61672,69727
gene-ACX60_RS01690,22981,32435,42555,34920,29679,46638,32877,36799,37245
gene-ACX60_RS01695,786,1013,1106,919,742,1093,880,988,1230
gene-ACX60_RS01700,39,63,49,43,56,69,71,91,53
gene-ACX60_RS01705,572,820,958,795,734,888,721,673,834
gene-ACX60_RS01710,280,512,503,346,418,426,386,391,434
gene-ACX60_RS01715,58,56,90,55,34,65,88,52,79
gene-ACX60_RS01720,415,557,584,542,485,595,611,634,754
gene-ACX60_RS01725,733,1075,1074,778,725,819,824,829,960
gene-ACX60_RS01730,12818,17966,18770,21001,19257,22683,19340,21529,22027
gene-ACX60_RS01735,4584,6444,6720,6907,6995,7041,7224,7520,8173
gene-ACX60_RS01740,458,787,917,893,733,961,411,353,476
gene-ACX60_RS01745,105,179,213,145,136,175,84,89,118
gene-ACX60_RS01750,199,262,314,265,203,274,196,219,230
gene-ACX60_RS01755,34,69,115,78,50,84,54,56,66
gene-ACX60_RS01760,3575,4663,5883,4021,3110,5079,5065,4742,5566
gene-ACX60_RS01765,288,366,403,312,295,346,397,299,389
gene-ACX60_RS01770,2528,3699,3555,3093,2947,3353,2710,2811,3322
gene-ACX60_RS01775,2764,4298,4176,3548,3009,3812,4443,4626,4948
gene-ACX60_RS01780,1414,1821,1989,1564,1354,1396,1762,1922,2244
gene-ACX60_RS01785,78,116,135,62,39,106,73,48,79
